说话人1/2	中文文本	英文翻译	补充成分	补充句子
	1 10	1 10		
1	我们现在可以讨论了是吧	We can discuss it now, right?		
1	庭审结束了，我们可以讨论了	The court hearing is over, we can discuss it.		
2	是的，可以讨论	Yes, we can.	we	是的，我们可以讨论
2	还可以骂街，想做什么都行	And we can curse in public, do whatever we want.	we	我们还可以骂街，我们想做什么都行
1	那么大家去下洗手间,回来再进入正题	So everybody can go to the bathroom now, we'll get right to the point after that.		
				
	2 205	2 205		
1	我们要多花些钱	We need to spend more money.		
1	请一个更好的弹道专家	on a better ballistic expert.		
2	拜托你了，可以吗	Please, can we?		
2	花多少都行	I don't care about the expense.		
2	我就这么一个孩子	I have only one kid.		
				
	3 312	3 312		
1	我不知道是否该让比安卡作证	I don't know if I should ask Bianca to testify.		
2	你准备好盘问比安卡了吗	Are you ready to interrogate Bianca?		
1	我。。。是的	I'm...ready.		
2	如果这么做会让她很难过的	It would made her sad.		
				
	4 913	4 913		
1	比安卡和她母亲要和我们谈谈	Bianca and her mother wanna talk to us.		
2	天啊	Oh my god.		
2	凯里在哪儿 得找他来	Where's Kerry? We need to find him.	we	凯里在哪儿 我们得找他来
1	为什么	Why?		
2	只有凯里能和她谈谈	Only Kerry can talk to her.		
				
	5 1051	5 1051		
1	乖点听爸爸的话	Behave yourself and listen to daddy.		
1	今晚见	I'll see you tonight.	you	今晚见你
2	我不能送孩子们上学	I can't take the children to school.		
2	一直都是你送的	You are always the one who take the children to school.		
1	我今天必须早上班	I have to go to work early today.		
2	现在就在上班了 也太早了	Now? Isn't it too early?		
				
	6 3012	6 3012		
1	这不是胡安妮塔的错	It's not Juanita's fault.		
1	你不要怪她	Don't blame her.		
1	要怪就怪她父母	You should blame her parents.	you	你要怪就怪她父母
1	只是可怜了胡安妮塔这个孩子	Poor Juanita.		
				
	7 3302	7 3302		
1	这家商店怎么停电了	Why is this shop out of power?		
2	不好意思 先生	Sorry, sir.		
1	没关系 	It's okay.		
1	是没付电费吧	Didn't you pay the electricity bill?	you	你是没付电费吧
				
	8 5185	8 5185		
1	保险柜你找到了没	Have you found the safe box?		
1	我已经等不及了	I can't wait.		
2	找到了	Yes, I have.	I	我找到了
2	已经打开了	And I've already opened it.	I	我已经打开了
				
	9 9137	9 9137		
1	圣经凭空消失了 无迹可寻	The Bible just gone with no trace.		
2	让警察到那个教区核对指纹	Have the police check fingerprints in that parish.		
2	我预感会有所收获的	I think we'll find out something.	we	我预感我们会有所收获的
1	可为什么要偷圣经呢	But why would anyone wanna stole the Bible?		
				
	10 11156	10 11156		
1	她怎么了	What happened to her?		
1	是不是哭了	Is she crying?	she	她是不是哭了
2	是啊	Yeah.		
2	弄得我焦头烂额	She drives me crazy.	she	她弄得我焦头烂额
2	除了见不得女人落泪 其他的事我都能搞定	I can handle everything except a crying woman.		
				
	11 11228	11 11228		
1	话说找他喝酒的那个女人是谁啊	Who's the woman asked him to drink?		
2	我不认识 只知道是个记者	I don't know her. I only know she's a journalist.	she	我不认识她 只知道是个记者
2	她跟着约翰一起采访	She followed John in the interview.		
2	想找他做个跟踪报道	She wanted to ask him to do a follow-up story.	she	她想找他做个跟踪报道
				
	12 11643	12 11643		
1	来了一辆豪车	Here comes a luxury car.		
2	天呐 那司机看起来真眼熟	Oh my god. The driver looks familiar.		
1	是我们的人吗	Does he belong to us?	he	他是我们的人吗
2	没错 他叫山姆	Yes, he's Sam.		
2	别紧张 他人不错	Relax. He's nice.		
				
	13 12551	13 12551		
1	你怎么无精打采的 谁招惹你了	Why are you so down? What happened?		
2	太无聊了	I'm so bored.		
2	得整天盯着一大堆文件看	I need to spend time with a pile of papers entire day.	I	我得整天盯着一大堆文件看
				
	14 13718	14 13718		
1	尼尔检查了杜兰的所有信息	Neil's checked all the informations of Duran.		
1	他清白得出人意料	He was unexpectedlly innocent.		
2	当然是了	Of course.		
2	你怎么能怀疑杜兰呢	How can you doubt Duran?		
2	他从来不会撒谎	He would never lie.		
1	也许确实如此	Maybe you're right.		
				
	15 14386	15 14386		
1	我叫尼克 我想做你的股票经纪人	I'm Nick, I wanna be your stockbroker.		
2	我有经纪人了	I've already got a stockbroker.		
2	是吗 他干的怎么样	Really? How's his work?		
2	去年给你赚钱了吗	Has he made you money last year?	he	去年他给你赚钱了吗
1	去年经济危机 谁赚钱了啊	The economic crisis was in last year, nobody could make money.		
				
	16 14984	16 14984		
1	你在庆祝什么	What are you celebrating?		
1	我们还有几场比赛	We've got few games left.		
1	下个礼拜才有得可庆祝	We have nothing to celebrate until next week.	we	下个礼拜我们才有得可庆祝
2	我们只是想放松一下	We just want to have a relax.		
2	我觉得大家的努力工作 值得这点小小的奖励	I think our hard work deserves a little reward.		
				
	17 15516	17 15516		
1	琼斯在吗 找他帮个忙	Is Jones there? I need him to do me a favor.	I	琼斯在吗 我找他帮个忙
2	不在 找他帮什么忙	He's not here. What do you need from him?	you	不在 你找他帮什么忙
1	帮我查一下这上面的指纹	Check the fingerprints on this for me.		
1	看看能不能找到指纹的主人	See if we can find the owner of these fingerprints.		
2	好吧 琼斯出去了 明天再来找他吧	Okay, Jones's out. You can find him tomorrow.		
				
	18 16186	18 16186		
1	这是我的搜查令	Here's my search warrant.		
2	你来这里找谁	Who are you looking for?		
1	找叫做格蕾丝的经销商	I want to find a dealer named Grace, 	I	我找叫做格蕾丝的经销商
1	她经营一间高档的酒窖	who runs a upscale wine cellar.		
1	我要通过格蕾丝找到她的父亲	I need to find her father through Grace.		
				
	19 16213	19 16213		
1	我准备举办一场私人品酒派对	I'm going to hold a private wine tasting party.		
1	你可以邀请你的朋友来吗	Can you invite your friends?		
2	你可以直接联系他	You can contact him directly.		
2	我的朋友是个谨慎的人	My friend is a cautious person.		
2	如果能亲自告诉他更多情况 他就会来了	He'll come if you'd tell him more information in person.	you	如果你能亲自告诉他更多情况 他就会来了
				
	20 16793	20 16793		
1	里面没人 那个混蛋一定看到我们来了	No one's there. That jerk must have seen us.		
2	监控显示他已经逃离了现场	The monitoring shows that he's fled the scene.		
2	在我们封锁大楼前两分钟开了另一辆车逃了	He's drove away just two minutes before we blocked the building.	he	他在我们封锁大楼前两分钟开了另一辆车逃了
1	这么说你完全不知道他在哪里咯	So you have no idea where he is.		
2	我们正用交通摄像机监控他的行踪	We're monitoring him through a traffic camera.		
2	他都来不及带上他的笔记本	He didn't even have time to grab his noteook.		
				
	21 16924	21 16924		
1	我得找艾薇谈一谈	I need to talk to Ivy.		
1	自从上次之后她就不理我了	She hasn't talked to me since last time.		
2	抱歉 艾薇最近心情不太好 实在没心情谈话	Sorry, Ivy's not been in a good mood recently. She's not in the mood of talking.	she	抱歉 艾薇最近心情不太好 她实在没心情谈话
1	得了奖也没心情吗	Even after winning the prize?		
1	她最近可是得了大奖呢	She won a big prize recently.		
2	没办法 我有时也会这样	These things happen. So am I sometimes.		
				
	22 16999	22 16999		
1	这是瑞安 认识他吗	It's Ryan, do you know him?	you	这是瑞安 你认识他吗
2	认识 他手下有个小工厂 经常生产一些儿童玩具	Yeah, he owns a small factory which products children's toys.		
2	市里的商店经常找他合作	The shopkeepers in the city often ask him for cooperation.		
1	尼尔和他合作过吗	Has Neil ever cooperated with him?		
2	算是试着合作过一次吧	Well, they tried to work together once.	they	他们算是试着合作过一次吧
2	瑞安和尼尔现在已经是好友了	Now Ryan and Neil are friends.		
				
	23 17027	23 17027		
1	总部那边有消息了吗	Any information from the head office?		
2	情报科那边查到了	Intelligence has got it.		
1	查到了什么	What did they get?	they	他们查到了什么
2	查到了餐馆的监控录像	The surveillance video of the restaurant.		
1	干得不错 查到的人多半是威克斯	Good job. It's probably Vix who found it.		
				
	24 17129	24 17129		
1	彼得 你怎么过来了	Peter, why are you here?		
2	我正好在附近购物呢	I happened to go shopping nearby.		
2	就顺便过来邀请你参加明天的party	I just drop by and invite you to tomorrow's party.	I	我就顺便过来邀请你参加明天的party
2	对了 你知道珍妮在家吗	By the way, is Jenny at home?		
2	我待会儿就去邀请	I'll invite her later.	her	我待会儿就去邀请她
1	在的 明天见	Yeah, I'll see you tomorrow.	you	在的 明天见你
				
	25 18730	25 18730		
1	吉米怎么了	What happened to Jim?		
2	考试作弊被老师抓住了	He was caught cheating by his teacher in a test.	he	他考试作弊被老师抓住了
1	真不敢相信还会作弊	I can't believe that he cheated!	I/he	我真不敢相信他还会作弊
1	他成绩一直都挺不错的	His grades've always been great.		
2	是啊 吉米让老师很失望	Yeah, Jim lets his teacher down.		
				
	26 18773	26 18773		
1	我最近买了几幅油画 给你看看	I've brought some oil paintings recently, I'll show you.		
2	都是假的	All of them are fake.		
1	都是吗 你怎么知道	All? How did you know?		
2	真品都有特殊的防伪标记	The real painting has a special security mark.		
2	我之前听专家讲过	I‘ve heard it from a expert.		
				
	27 18817	27 18817		
1	很久没看到你这么高兴了	I haven't seen you so happy for a long time.	I	我很久没看到你这么高兴了
1	你看看 乐的嘴都合不上了	Look at you, you're grinning your head off.		
2	因为今天天气不错	Because it's a nice day.		
1	明明是得意有人给你写了情书	Obviously, it's because that you've received a love letter.		
2	好吧 情书确实会让人很开心	Fine, but love letters do make people happy.		
				
	28 18901	28 18901		
1	她最近怎么了	What happened to her recently?		
2	有人在找她 好像不怀好意	Someone with bad intentions is looking for her.		
1	她知道是谁吗	Does she know who it is?		
2	不知道 不过那些人势力很大	No, she doesn't, but they're powerful.	she	她不知道 不过那些人势力很大
2	而且差不多快找到她了	And they almost find her.	they	而且他们差不多快找到她了
1	我们有什么能帮助她的吗	Is there anything we can do for her?		
				
	29 18924	29 18924		
1	哇 这幅画是谁画的 简直太棒了	Wow, who painted this picture? It's amazing.		
2	是贾斯汀	Justin.		
1	贾斯汀真不简单	Justin is terrific.		
1	以后要是需要画画绝对找他	I'll find him if I need pictures in the future.	I	以后我要是需要画画绝对找他
2	没错 我也是	Yeah, me too.		
				
	30 19716	30 19716		
1	我们的新律所需要一间办公室	We need an office in our new law firm.		
2	是的 我最近就在忙这个	Yes, I've been working on this recently.		
1	找到了吗	Did you find it?	you	你找到了吗
2	正找着呢	I'm looking for it.	I	我正找着呢
2	但没有证书确实比较难找	But it's really hard to find it without a certification.		
				
	31 19758	31 19758		
1	杰夫尼 这是怎么回事	Jeffery, what's wrong with you?	you	杰夫尼 你这是怎么回事
2	什么意思 我怎么了	What do you mean? Is there anything wrong with me?		
1	我的意思是你为什么要酒驾	I mean, why are you drunk driving?		
1	这很危险 不知道吗	It's dangerous, don't you know?	you	这很危险 你不知道吗
2	我没醉	I'm not drunk.		
1	你这样就等着被捕吧	You'll be arrested.		
				
	32 20018	32 20018		
1	今天我们有什么计划吗	Do we have any plan for today?		
2	要不来打牌吧 外面天气不太好	How about playing cards? The weather today is not very nice.		
1	现在就开始吗	Now?		
2	再等等吧 丹尼还没来	Wait, Danny's not here.		
2	他还有有个案子要处理	He has a case to deal with.		
				
	33 20158	33 20158		
1	艾丽最近怎么样了	How's Allie recently?		
2	我不知道 她已经不在我的律所了	I don't know. She's not in my law firm anymore.		
1	什么 为什么走了	What? Why did she leave?	she	什么 她为什么走了
2	开了自己的律所	She opened her own law firm.	she	她开了自己的律所
1	什么时候的事	When is it?		
2	大概三周之前吧	About three weeks ago.		
				
	34 20657	34 20657		
1	海耶斯心脏病突发死亡了 知道吗	Do you know that Hayes died of a heart attack?	you	海耶斯心脏病突发死亡了 你知道吗
2	我知道 但是威廉说这是谋杀	I know. But William said it's a murder.		
1	怎么知道他是被谋杀的	How does he know that?		
2	威廉看过海耶斯的检验报告	William's read Hayes' inspection reports, 		
2	报告显示他的血液里有药物成分	which shows there were drug ingredients in his blood.		
				
	35 20959	35 20959		
1	彼得 喊安德鲁来吃饭了	Peter, tell Andrew it's dinner time.		
2	安德鲁恐怕不会吃了	I'm afraid that Andrew won't eat.		
1	他有什么事吗	What is wrong with him?		
2	今晚要和同学去聚餐	He's going to have dinner with his classmates tonight.	he	今晚他要和同学去聚餐
1	噢 好吧	Okay, fine.		
				
	36 21812	36 21812		
1	继续讲讲上次的故事吧	Continue the story you told me last time.	you	你继续讲讲上次的故事吧
2	没问题 上次说到哪儿了	No problem, where were we last time?	we	没问题 我们上次说到哪儿了
2	说到警方发出了拘捕令	The police issued an arrest warrant.		
1	噢 想起来了	Oh, right.		
1	接下来就是故事的高潮了	Here comes the climax of the story.		
				
	37 21828	37 21828		
1	今天我们有很多事情要做	We have a lot of works to do today.		
2	能开始了吗	Can we start it now?	we	我们能开始了吗
1	来吧 首先你负责收集案件	Come on, first of all, you're responsible for collecting cases.		
1	她将案件整理合并为报告	She consolidated the cases into a report.		
1	下班之前装订好给我	Bind them and give them to me before getting off work.		
				
	38 22999	38 22999		
1	彼得 来一个杯咖啡吧	Peter, how about having a cup of coffee?		
2	多谢 我可能暂时不需要	Thanks, I don't need coffee now.		
1	来一杯吧 等会儿就需要了	Come on, you'll need it later.	you	来一杯吧 你等会儿就需要了
1	今天你估计还得加班呢	You might have to work overtime today.		
				
	39 23741	39 23741		
1	紧急出口在这里 到展厅的入口只有一个	Here is the emergency exit, there is only one entrance to the exhibition hall.		
1	这边还有一条服务通道	And there is a service channel.		
2	你这是打算抢劫博物馆吗	Are you going to rob the museum?		
1	怎么会呢	How come?		
2	如果不是要抢劫 干嘛要知道这些	If you're not going to rob the museum, why you have to know these things?	you	如果不是要抢劫 你干嘛要知道这些
1	我只是下周想来逛逛罢了	I just wanna hang out here next week.		
				
	40 27809	40 27809		
1	这不是琼斯探员吗 巧啊	Are you agent Jones? What a coincidence.		
2	约翰 站住 你是尾随我过来的吗	John, stop! Did you follow me here?		
2	快说 否则开枪了	Hurry up, or I'll shoot you.	I	快说 否则我开枪了
1	我凭直觉找来的	I'm here by the sense of my pants.		
				
	41 27903	41 27903		
1	嗨 亲爱的 今天还顺利吗	Hi, darling, how was your day?		
2	抓了个坏人还算不错	No bad, I caught a bad guy.	I	我抓了个坏人还算不错
1	这样啊 那杰克怎么样呢	Well, how about Jack?		
2	不太顺利 杰克今天遇到了一起事故	Not good. He had an accident today.		
1	这样啊 	Ah.		
				
	42 27982	42 27982		
1	你好 我是罗兰	Hi, I'm Roland.		
2	你是来鉴定遗嘱的吧	Are you here to identify the will?		
1	是的 可以看看遗嘱吗	Yeah, may I see the will?	I	是的 我可以看看遗嘱吗
2	都放在桌上了	They're on the desk.		
				
	43 28110	43 28110		
1	琼斯 问你件事	Jones, I have something to ask you.	I	琼斯 我问你件事
2	说吧 什么事	What is it?		
1	那个人是谁	Who's that girl?		
2	冷静点小子 她可是生人勿近	Calm down, buddy. She is an icy beauty.		
1	我还是想要试试	But I still wanna try.		
				
	44 29390	44 29390		
1	最近制药公司出了一款新药	The Pharmaceuticals company release a new drug recently.		
1	有人负责去调研吗	Anyone in charge of research?		
2	琼斯负责这一块	Jones.		
1	查到关于新药相关的信息了吗	Do we know any related information of the new drug?		
2	能查的都查到了 那是一种治疗感染的新抗生素	We got everything we could. It's a new kind of antibiotic to treat infection.		
1	听上去前途无量	Sounds promising.		
				
	45 29438	45 29438		
1	今天派对几点	When will the party start?		
2	下午四点	4:00 pm.		
1	你得把所有事情安排妥当	You need to get everything done.		
1	蛋糕服饰还有所有的一切	The cake, the costume and everyting.		
2	没问题 还有其他的吗	No problem, anything else?		
1	还得给所有客人打电话	And call all the guests.		
				
	46 29684	46 29684		
1	克里斯蒂来电话了	Christie called.		
1	她让我帮忙问问你和苏珊	She let me ask you and Susan, 		
1	想不想下周末再来次聚餐	if you are available for dinner on next weekend.	you	你想不想下周末再来次聚餐
2	没问题 你难道不来吗	No problem. Why won't you come?		
1	有点事情要忙	I have something to do.	I	我有点事情要忙
				
	47 30158	47 30158		
1	那个女孩叫什么名字	Who's that girl?		
2	黛安娜	Diana.		
1	以前在我们这儿工作过吗	Did she work here before?	she	她以前在我们这儿工作过吗
2	是的 她之前做法律工作	Yeah, she used to work in law.		
2	现在又被老板安排到这边来了	And now she was brought here by her boss.	she	她现在又被老板安排到这边来了
				
	48 33209	48 33209		
1	杰克要请你吃饭	Jack wants to invite you to dinner.		
2	为什么邀请我吃饭	Why?		
1	因为你上次在拍卖会上帮了他一个忙	Because you did him a favor on last auction.		
1	他想用一餐美味回报	He wants to pay you back by a nice meal.	you	他想用一餐美味回报你
				
	49 33228	49 33228		
1	彼得最近好像挺忙	Peter seems busy recently.		
2	是的 他最近一直在追学妹	Yeah, he is courting a girl recently.		
2	他表现不错	He is good,		
2	但是如果想要更进一步还得更加努力	but still need to work hard if he wants to go further.	he	但是他如果想要更进一步还得更加努力
1	祝他好运	Good luck to him.		
				
	50 34035	50 34035		
1	你怎么看他这个人	What do you think of him?		
2	他生活不富裕 有点仇富	He doesn't live a rich life. He has a resentment against the rich.		
1	我觉得他有道德观 经常捐款	I think he has moral values, he often give donations.		
2	捐款是为了他的罪行找正当理由	Donations rationalize his crime.		
2	他还很傲慢	And he is arrogant.		
2	要被抓了也不懂躲避风头	He doesn't know how to stay away troubles while he's about to be caught.	he	他要被抓了也不懂躲避风头
				
	51 3302	51 3302		
1	这家商店怎么停电了	Why is the shop out of power?		
2	是啊 这周都停了好几次了	Yeah, it's not the first time this week.		
2	估计是没付电费吧	I guess they didn't pay the electricity bill.	they	他们估计是没付电费吧
				
	52 11156	52 11156		
1	他怎么了	What happened to him?		
1	是不是哭了	Is he crying?	he	他是不是哭了
2	是啊	Yeah.		
2	弄得我焦头烂额	He makes me nervous.	he	他弄得我焦头烂额
2	都这么大的人了	He's an adult.	he	他都这么大的人了
				
	53 12551	53 12551		
1	约翰对他的工作还满意吗	Is John satisfied with his job?		
2	不太满意 他太无聊了	Not really, he's too bored.		
2	得整天盯着一大堆文件看	He needs to spend time with a pile of papers entire day.	he	他得整天盯着一大堆文件看
				
	54 5185	54 5185		
1	汤姆他找到保险柜了吗	Did Tom find the safe box?		
1	我已经等不及了	I can't wait.		
2	找到了	He got it.	he	他找到了
2	已经打开了	It's already open.		
				
	55 18817	55 18817		
1	很久没看到吉米这么高兴了	I haven't seen Jimmy so happy for a long time.		
1	你看看 乐的嘴都合不上了	Look at him. He can't even close his mouth.	he	你看看 他乐的嘴都合不上了
2	可能是因为今天天气不错	Maybe it's because today is a nice day.		
1	明明是因为有人给他写了情书	Because someone had written him a love letter.		
2	好吧 情书确实会让人很开心	Well, love letters do make people happy.		
				
	56 9137	56 9137		
1	我有罪，我居然偷了圣经	I was guilty of stealing the bible.		
2	可为什么要偷圣经呢	But why do you steal the bible?	you	可你为什么要偷圣经呢
1	我买不起	I can't afford it.		
				
	57 34623	57 34623		
1	你会开这个保险箱吗	Can you open this safe box?		
2	传统的保险箱不是我的强项	Traditional safe boxes are not my strengths.		
1	要学会应变嘛 我也不擅长开锁	Learn to be more flexible. I'm not very good at picking locks.		
2	只能试试了 我不确定能成功开启	I can only have a try. I'm not sure it'll work.		
				
	58 34805	58 34805		
1	琼斯能铐住他吗	Can Jones handcuff him?		
2	多给他点时间吧	Give him more time.		
1	我实在受不了他了	I can't stand him any more.		
2	相信我 他本性不坏	Trust me, he's not a bad person.		
2	还是能改过来的	He can still be corrected.	He	他还是能改过来的
				
	59 35032	59 35032		
1	我中了大奖了	I hit the jackpot!		
2	是吗 中了多少钱	Really? How much did you win?	you	是吗 你中了多少钱
1	一百万美元	A million dollars!		
2	天呐 太幸运了 恭喜你	Oh, my god. You're so lucky. Congratulations!		
1	现在只有一个问题了 这一百万美元要怎么花	Now there is only one question: what am I going to do with that million dollars?	I	我现在只有一个问题了 这一百万美元要怎么花
				
	60 35034	60 35034		
1	看看我的这位朋友	Look at my friend.		
2	好像有点眼熟	It looks a little familiar.		
1	像不像杜邦先生	Does he look like Monsieur Dupont or not?	he	他像不像杜邦先生
2	噢 是的	Oh! Yes!		
2	我说怎么感觉在哪里见过	I said I feel I have seen him somewhere before.	him	我说怎么感觉我在哪里见过他
				
	61 36108	61 36108		
1	时间差不多了 我们出发吧	It's about time. Let's go!		
2	不需要顺便开车带走鲁斯狄吗	Don't you need to pick Rustie up?		
1	他准备好了吗	Is he ready?		
2	一直在等我们呢	He's been waiting for us.	he	他一直在等我们呢
1	好吧 出发去接他	Okay, let's go pick him up.		
				
	62 37839	62 37839		
1	你的女儿也在这儿上学吗	Does your daughter go this school, too?		
2	我女儿现在上高三 时刻让我操心	My daughter is a senior now and I worry about her all the time.		
1	是啊 总是想他们下一步会做什么	Yeah, I always wondering what they're going to do next.	I	是啊 我总是想他们下一步会做什么
2	你儿子也不省心吧	Your son makes you worry, doesn't he?		
1	他很聪明但是爱冲动	He is clever but impulsive.		
2	把你的儿子送到这儿 他会规规矩矩	Send your son here and he'll behave himself.		
2	在曼哈顿预科学校可别想胡作非为	Don't run amuck in a Manhattan prep school.		
				
	63 37893	63 37893		
1	最近我亏了一大笔钱	I've lost a lot of money recently.		
2	钱都用在何处了	Where did the money use?		
1	都投在股市了	It's all in the stock market.		
2	那最近肯定要赔的 所有人都一样	It'll definitely stand a loss recently. All the people are the same.		
1	但我赔的比大部分人多	But I lost more than most people.		
				
	64 38780	64 38780		
1	我们去球场里看看吧	Let's go inside the stadium and have a look.		
2	你心情好像不错	You seem to be in a good mood.		
1	八岁时我爸带我看了场比赛	My dad took me to a game when I was eight,		
1	那时我就决定要为洋基队而战	that's when I decided I wanted to play for the Yankees.		
2	是啊 所有八岁的孩子都是这么想的	Yeah, that's what all eight-year-olds think.		
				
	65 38984	65 38984		
1	尼尔 到你了 说说自己吧	Neil, it's your turn, say something about yourself.		
1	什么时候出来的	When did you come out?	you	你什么时候出来的
2	18个月又17天前出来的	I came out 18 months and 17 days ago.	I	我18个月又17天前出来的
2	我可没刻意数着	I didn't count them on purpose.		
2	之前没进过监狱 好像不太好玩儿	I've never been in prison before, it seems not like something fun.	I	我之前没进过监狱 好像不太好玩儿
				
	66 39106	66 39106		
1	你知道柯林斯在哪儿吗	Do you know where Collins is?		
2	不知道 我给我丈夫打电话问问	I don't. I'll call my husband.		
1	麻烦你了 夫人	I'm sorry to trouble you, madam.		
2	找到了 柯林斯去我家了	Got it. Collins has gone to my house.		
				
	67 44876	67 44876		
1	人已经都来齐了吧	Everyone is here already, isn't it?		
2	还差库克	Cook has not yet.		
1	非得等他才可以进去吗	Must we wait for him to get in?	we	我们非得等他才可以进去吗
2	是的 我们要一起行动	Yes, we need to act together.		
1	谁有库克的电话 催一下吧	Who has Cook's number, please call him hurry!	him	谁有库克的电话 催一下他吧
				
	68 52007	68 52007		
1	忙了一天还是没黑进他们的主机	It's been a busy day and I still haven't hacked into their mainframe.	I	我忙了一天还是没黑进他们的主机
2	你有试过让彼得帮忙吗	Have you tried asking Peter for help?		
1	他上次帮我私下搞	He did it for me privately last time,		
1	差点工作都丢了	and he almost lost his job.	he	他差点工作都丢了
2	那看来还是别让彼得插手这件事了	Then it seems better to keep Peter out of the affair.		
				
	69 52651	69 52651		
1	警方怎么回事 把迈里克给放了	How did the police free Merrick?		
2	是为了放长线钓大鱼吧	It's for the long haul.		
1	你这表情好像知道什么 告诉我嘛	You look like you know something. Please tell me.		
2	警长早有计划 放心好了	The sheriff had a plan. Take it easy.		
