说话人1/2	中文文本	英文翻译	补充成分	补充句子
2	不用 我自己去就行	No, I can go by myself.		
				
	132 237864	132 237864		
1	我要按下破解按钮了	I'm gonna hit the crack button.		
2	来吧	Come on.		
1	看起来不太妙啊	It doesn't look good.		
2	肖恩在源码里植入了自毁程序 只要有人入侵就会清空内存	Shawn planted a self-destruct program in the source code that will empty the memory whenever someone invades it.		
1	也许我可以撤销指令	Maybe I can repeal the instruction.		
2	你动手前应该做个备份的	You should have made a backup before you started.		
				
	133 237943	133 237943		
1	简 你知道孩子的父亲是谁吗	Jane, do you know who the father is?		
2	你就是想和我谈这个吗	Is that what you want to talk about to me?		
1	我觉得你知道	I think you know it.		
2	过去不知道 现在也不知道	I didn't know it before and I don't know it now.	I	我过去不知道 我现在也不知道
1	你怎么会不知道是谁的孩子	How can you not know whose child it is?		
				
	134 238758	134 238758		
1	听说朱丽叶要来这边	I hear Juliet's coming over here.		
2	对 据说是要来拿手稿	Yeah, she's supposed to be coming for the manuscript.	she	对 据说她是要来拿手稿
1	确认她抵达这儿的时间了吗	Have you confirmed the time of her arrival here?	you	你确认她抵达这儿的时间了吗
2	也许是开车来的 所有航班的乘客名单上都没她	Maybe she drives here, She wasn't on the passenger list on any of the flights.		
				
	135 239521	135 239521		
1	这位先生 有什么能帮到你吗	What can I do for you? Sir.	I	这位先生 我有什么能帮到你吗
2	可不可以来这里吃个饭	Can I have dinner here?	I	我可不可以来这里吃个饭
1	当然可以 要先来杯咖啡吗	Sure. Would you like a cup of coffee first?	you	当然可以 你要先来杯咖啡吗
2	好的 谢谢	OK, thank you.		
				
	136 241780	136 241780		
1	她的初步分析已经出来了	Her preliminary analysis has come out.		
2	难道不是溺水身亡的吗	Didn't she drown?	she	难道她不是溺水身亡的吗
1	是溺水 但不是海水溺水	She is, but not sea drowning.	she	她是溺水 但不是海水溺水
2	是苏打水吗	Is it soda?		
1	也不是 她吸入的是雨水	Neither. What she inhaled was rain water.		
				
	137 241789	137 241789		
1	她的尸检报告显示她是被雨水淹死的	Her autopsy report showed that she had drowned in the rain.		
1	也就是说我们要找的犯罪现场得有一整桶雨水	Which means the crime scene we're looking for has to have a whole bucket of rain.		
1	我们知道尸体是被抛在港口的海水中	We know the bodies were thrown into the sea in the harbor.		
2	没错 也许就是在港口附近被杀的	Yeah, maybe she was killed near the harbor.	she	没错 也许她就是在港口附近被杀的
				
	138 243390	138 243390		
1	亲爱的 又加班了吗	Darling, did you work overtime again?	you	亲爱的 你又加班了吗
2	是的 你到家了吧	Yes, you're home, aren't you?		
1	刚到家 我去接宝宝了	I just got home, I went to pick up the baby.		
2	今天怎么这么早	Why are you so early today?		
1	学校有突发情况所以提前出来了	School came out early because of an emergency. 		
				
	139 243699	139 243699		
1	他不会因此就逃脱罪责的	He couldn't get away for it.		
2	昨天我还敢这么说 今天可不好说了	I dared to say that yesterday, but I'm not sure today.		
1	你让他张嘴说话了吗	Did you let him talk?		
2	是的 停都停不下来	Yeah, he couldn't even stop.	he	是的 他停都停不下来
				
	140 243892	140 243892		
1	真不好意思 本该给你倒杯茶的	I'm sorry. I should have give you a cup of tea.	I/I	真不好意思 我本该给你倒杯茶的
2	桌上的曲奇饼干呢	What about the cookies on the desk?		
1	都被我吃了	I ate them all.		
2	巧克力也被你吃了吗	Even the chocolate?		
1	一开始就吃了	I ate the chocolate first.	I	我一开始就吃了
				
	141 275250	141 275250		
1	他体温很低 应该坐在这里有一会儿了	He has a low temperature. He must have been sitting here for a while.
2	那是今天的报纸	That's today's newspaper.		
1	该不会是一边在看股票版一边在自刎吧	He wouldn't be reading the stock pages while cutting his throat.	he	他该不会是一边在看股票版一边在自刎吧
2	伤口的边缘很奇怪	The edge of the wound is strange.		
1	其实整件事都很蹊跷	The whole thing is strange.		
				
	142 278703	142 278703		
1	看到那个刺伤她的人了吗	Did you see the man who stabbed her?	you	你看到那个刺伤她的人了吗
2	没有 他离我太远了	No, he's far away from me.		
1	发现她的时候她还有意识吗	Was she conscious when you found her?	you	你发现她的时候她还有意识吗
2	有的 她还在呻吟	Yeah, she was moaning then.		
1	什么时候停下来的	When did she stop it?		
2	几分钟前	Just a few minutes ago.		
1	她已经死了 失血过多	She's dead. She lost too much blood.		
				
	143 313574	143 313574		
1	我以为你点了好吃的	I ordered some nice dishes for you.		
2	这很好啊	That's great.		
1	那是紫甘蓝 过去人们吃沙拉没人会吃	That's purple cabbage. Nobody used to eat it in salad.		
2	但是现在成了好东西了 不是吗	But it's a nice food now, right?		
				
	144 313579	144 313579		
1	你能戒了咖啡吗	Can you quit coffee?		
1	你有家族高胆固醇史	You have a family history of high cholesterol.		
2	不行	No.		
1	该去医院检查一下的	You should go to the hospital.	you	你该去医院检查一下的
2	你真多管闲事	You're so nosy.		
1	我这是关心	I care about you.	you	我这是关心你
				
	145 316267	145 316267		
1	我想我已经触发了压力开关	I think I've triggered the power switch.		
2	如果现在放手会怎样	What if you release it now?	you	你如果现在放手会怎样
1	这就像一个地雷踩上之后 如果抬脚就会爆炸	It's like a mine, if you've stepped on it, it'll explode if you life your foot.		
2	我们需要拆弹专家	We need a bomb disposal expert.		
1	你走吧 弗罗斯特	You should go, Frost.		
				
	146 317324	146 317324		
1	我们现在去吃饭吧	Let's have dinner now.		
2	要不叫上约翰吧	Why don't we call Jonh?	we	我们要不叫上约翰吧
1	没问题 他知道地址吗	No problem. Does he know the address?		
2	已经发给他了	I've already sent him.	I	我已经发给他了
				
	147 317371	147 317371		
1	约翰找了个新工作	John found a new job.		
2	什么时候	When?		
1	不确定 不过他打包了他的所有东西	I'm not sure. But he packed all his stuff.	I	我不确定 不过他打包了他的所有东西
1	连我们的比赛奖杯都带走了	Even our trophy.		
2	他不会把电脑都搬走了吧	He can't take the computer with him, can he?		
				
	148 325959	148 325959		
1	卢卡斯是不是你的律师	Is Lucas your lawyer?		
2	不 是律所的律师	No. He's the lawyer at a law firm.	he	不 他是律所的律师
2	之前他处理过霍维尔的案子	He worked on the Howell's case before.		
1	卢卡斯确实是个好律师	Lucas is really a good lawyer.		
				
	149 326503	149 326503		
1	弗里茨还好吗	Is Fritz okay?		
2	子弹打进了他的肩膀 他正在动手术	The bullet hit his shoulder. He is undergoing surgery.		
1	什么时候才能和他谈谈	When can I talk to him?	I	我什么时候才能和他谈谈
2	要等医生同意才行	Only when the doctor agrees.		
				
	150 333508	150 333508		
1	伸手 这边有驱蚊水	Give me your hand, I have mosquito repellant here.		
2	我不需要	I don't need it.		
1	这些蚊子没有嗡得你脑子糊了吗	Aren't these mosquitos buzzing your mind?		
2	我是不被蚊子咬的体质	I'm immune to mosquitos.		
				
	151 333509	151 333509		
1	现场报告是谁在负责	Who's in charge of the on-site report.		
2	是丹尼尔 他刚才进行了现场勘查	Daniel. He just conducted a on-site survey.		
1	有什么发现吗	Any discovery?		
2	死者是白人女性 应该是青少年	The victim was a white female, and she's probably a teenager.	she	死者是白人女性 她应该是青少年
1	知道名字吗	Do you know her name?	you	你知道名字吗
2	死者身上没有任何证件	There's no identification on the victim.		
				
	152 340085	152 340085		
1	你平时有什么娱乐活动吗	What do you do for entertainment usually?		
2	我是红袜队的粉丝	I'm a fan of Red Sox.		
1	我不怎么懂棒球	I don't know much about baseball.		
2	住在这个城市怎么能不爱红袜队	How can you not love Red Sox while live in this city?	you	你住在这个城市怎么能不爱红袜队
1	那就给我科普下吧	Tell me about it.		
				
	153 343436	153 343436		
1	妮可哪儿去了	Where's Nicole?		
2	她一个人去抓爱丽丝了	She went to catch Alice alone.		
1	抓到了吗	Have she caught her?	she	她抓到了吗
2	还没有	Not yet.		
1	爱丽丝很狡猾 你去帮帮她	Alice is cunning. You should go help her.		
				
	154 343441	154 343441		
1	你在干什么	What're you doing?		
2	爱丽丝藏起来了 我在查她可能藏在哪儿	Alice's hiding. I'm trying to figure out where she's possibly hiding.		
1	目前发现了什么吗	Any discoveries?		
2	好像一直有人在帮她	It seems that someone's been helping her.		
				
	155 350566	155 350566		
1	你是在写书吗	Are you writing a book?		
2	没错 刚写了一章	Yeah, I just finished a chapter.	I	没错 我刚写了一章
1	把我写进去了吗 我可以当个配角	Did you put me in the book? I can be a costar.	you	你把我写进去了吗 我可以当个配角
2	你会出现在致谢部分里	You'll be in the acknowledgement.		
1	好吧 反正别把我写成英格兰人	Fine. Anyway, don't make me an English man.		
				
	156 389727	156 389727		
1	他们的音乐总监突然病了	Their music director is suddenly ill.		
2	怎么莫名其妙病了 明天的演出可十分重要	For no reason? The show tomorrow is very important.		
1	也许我可以当临时的音乐总监	Maybe I can be their interim music director.		
2	一个晚上就能学会吗	Only by one night?		
1	只能试试了	I'll try.	I	我只能试试了
				
	157	157		
1	这是你带的咖啡吗	Did you brought the coffee?		
2	是的 我准备送给我的上司	Yeah, I'll give it to my boss.		
1	你知道他喜欢喝茶还是喝咖啡吗	Do you know whether he likes tea of coffee?		
2	据我所知都喜欢	As far as I know, he likes them all.	he	据我所知他都喜欢
				
	158	158		
1	听说美林在附近开了家餐厅	I heard Meilin opened a restaurant nearby.	I	我听说美林在附近开了家餐厅
2	是的 叫美林餐馆	Yes, it's Meilin's.		
1	你去过那里吃饭吗	Have you ever eaten there?		
2	去过 那里的饺子很不错	Yeah, the dumplings there is great.		
				
	159	159		
1	明天有一场展览 我们要去看吗	There's going to be an exhibition tomorrow. Are we going to see it?		
2	什么展览	What kind of exhibition?		
1	全球最大的粉钻展览	The largest pink diamond exhibition in the world.		
2	我们上次是不是在哪儿也看过	Didn't we see it somewhere before?		
1	去年在巴黎看过一次	We saw it once last year in Paris.	we	我们去年在巴黎看过一次
				
	160	160		
1	莉亚在哭什么	Why is Leah crying?		
2	她被从面包店里轰了出来	She was ejected from the bakery.		
1	怎么会从面包店里赶出来呢	How could that happen?		
2	莉亚偷了一个蛋糕	Leah stole a cake.		
1	这就不奇怪了	That makes sense.		
				
	161 392349	161 392349		
1	妈 我准备向海莉求婚	Mom, I'm going to propose to Haley.		
2	不行 不能求婚 你还是个孩子	Not now. You're still a child.		
1	现在也不行 那时也不行 到底什么时候才可以	Not now. Not then. When can I propose to her?		
2	可以等她毕业了再结婚	You can get married to her after her graduation.	you	你可以等她毕业了再结婚
				
	162	162		
1	珍妮自从那件事之后就一直不见帕迪	Jenny hasn't seen Paddy since that incident.		
2	这关帕迪什么事	What's Paddy got to do with it?		
1	她觉得是帕蒂的到来才让她颜面尽失	She felt humiliated by Patty's arrival.		
2	要怪就怪她自己	She can only blame it on herself.	she	她要怪就怪她自己
1	话是这么说没错	That's right.		
				
	163	163		
1	你看那个白衣服的女孩	Look at the girl in white.		
2	你是说约翰旁边的那个吗	The one next to John?		
1	是的 怎么哭了呢	Yeah, why's she crying?	she	是的 她怎么哭了呢
2	这得问问约翰是不是伤了别人的心	You need to ask John if he broke someone's heart.	he	这得问问约翰他是不是伤了别人的心
1	我们去看看吧	Let's go and see.		
				
	164	164		
1	你觉得安娜是个怎样的人	What do you think of Anna?		
2	我觉得她待人挺和善的	I think she is easy-going.		
1	你不觉得她平时很神秘吗	Don't you think she's mysterious?		
2	难道是联邦调查局的人	Is she from FBI?	she	难道她是联邦调查局的人
1	你最近多多观察下	Keep an eye on her recently.	her	你最近多多观察下她
				
	165	165		
1	尼尔的新欢是谁	Who's Neil's new love?		
2	塔林·凡德森特	Tallinn Van der Sent		
1	没听说过	I've never heard of her.	I	我没听说过
2	是那间画廊的买家 挺漂亮的人也不错	She's a buyer from that gallary. She is pretty and nice.	she/she	她是那间画廊的买家 她挺漂亮的人也不错
1	要是尼尔看上了她你该多鼓励鼓励他	You should encourage Neil if he has a crush on her.		
				
	166	166		
1	我和你派来的间谍谈过了	I talked to the spy you sent.		
2	我的间谍 你在说什么	My spy? What are you talking about?		
1	你想跟我装傻吗	Don't play the fool with me.		
2	你以为是我的人吗 我从来没有请过间谍	You think he's mine? I have never hired a spy.	he	你以为他是我的人吗 我从来没有请过间谍
				
	167	167		
1	抱歉 怎么称呼	Sorry, what's your name?	your	抱歉 怎么称呼你
2	我叫麦克维	I'm McVeigh.		
1	我的天 真不幸的名字	Oh god, what a unfortunate name.		
2	抱歉 冒犯到你了吗	Sorry, did I bother you?	I	抱歉 我冒犯到你了吗
1	没有 我会联系你的	No, I'll call you.		
				
	168	168		
1	卡夫瑞的女朋友昨天搬走了	Cavry's girlfriend moved out yesterday.		
2	什么 就这么走了吗	What? She just left like this?	she	什么 她就这么走了吗
1	他们不是一个世界的人	They have nothing in common.		
2	是好聚好散吗	Merry meet, marry part?		
1	不是 她和卡夫瑞大吵了一架	No, she had a fight with Cavry.		
				
	169	169		
1	认识你很荣幸	It's my honor to meet you.	my	认识你我很荣幸
2	我也是 琼	Me, too. Jone.		
1	欢迎你以后来我家玩	Welcome to visit my house in the future.		
2	既然这样就不要怪我以后经常登门拜访了	In that case, don't blame me for my frequent visiting.		
1	十分欢迎	You're welcome.		
				
	170	170		
1	我得走了 马修让我回去见他	I have to go. Matthew asked me go back to see him.		
2	你们怎么了	What happened to you?		
1	马修怪我没给他保管好东西	Matthew blames me for not taking good care of his stuff.		
2	为什么要怪你 明明是他自己的问题	Why? It's his own problem.		
1	我的工作就是在他离开时保管好这些东西	My job is to take care of these stuff while he's gone.		
				
	171	171		
1	为什么你和斯拉分手了	Why you broke up with Sla?		
2	要怪只能怪我妈了	It was my mom.		
1	怪她什么	Why?		
2	我妈以前一直对斯拉不好 而且不让我和他在一起	My mom used to be mean to Sla, and she didn't allow me to date him.
1	你为什么没有和他一起走呢 你要靠自己获得自由	Why didn't you come with him? You can only get freedom by yourself.		
				
	172	172		
1	这是从大楼里找到的衣服 和琼斯经常穿的那件一样	These clothes were found in the building. It's the same as the one Jones usually wears.		
2	看来作案的就是他了	Looks like he did it.		
1	应该就是琼斯 可是他是怎么出这大楼的呢	It should be Jones. But how did he get out of the building?		
2	应该是找到了一台通向门厅的员工电梯	Maybe he found a stuff elevator to the gate.	he	他应该是找到了一台通向门厅的员工电梯
1	这家伙确实很厉害	He is really something.		
				
	173	173		
1	嘿 威尔 终于找到你了	Hey, Will. Finally I found you.	I	嘿 威尔 我终于找到你了
2	你怎么找到这儿的	How did you get here?		
1	搭了你手下的顺风车过来的	I got a lift from one of your men.	I	我搭了你手下的顺风车过来的
2	你是在哪里遇到他的	Where did you meet him?		
1	在酒店门口碰上的	At the gate of the hotel.		
				
	174	174		
1	我做了半径筛查 查了周围的交通录像	I did the radius screening and checked the traffic videos nearby.		
2	有什么发现吗	Any discovery?		
1	找到了这个	I found this.	I	我找到了这个
2	这是那辆黑色的小轿车	It's the black car.		
1	没错 通过车牌我们就可以继续追查了	Yeah, we can keep on investigating by the plate number.		
				
	175	175		
1	宝贝 学校里怎么样	Honey, how about school?		
2	还好 我饿死了 能吃点饼干吗	Not bad. I'm starving. Can I have some cookies?		
1	不喜欢我做的火腿三明治吗	Don't you like my ham sandwich?	you	你不喜欢我做的火腿三明治吗
2	我不太喜欢火腿	I'm not a fan of ham.		
				
	176	176		
1	那个伽罗是城里最好的餐厅 吃过你就明白了	The Gallo is the best restaurant in the city. You'll see.		
2	那我们走吧 迫不及待了	Let's go. I can't wait.	I	那我们走吧 我迫不及待了
1	不过走之前有一件礼物要给你	But I have something for you before leaving.	I	不过走之前我有一件礼物要给你
2	是什么	What is it?		
1	一块翡翠	It's a piece of jade.		
2	好贴心的礼物 谢谢	Oh, it's so sweet. Thank you.		
				
	177	177		
1	你在这儿走来走去干嘛	Why are you hangig out here?		
2	杰克一直不接电话	Jack didn't answer my call.		
1	他不是和朋友去爬山了吗	I thought he went hiking with friends.		
2	是啊 我有点担心	Yeah, I'm a little worried about him.		
1	别担心 到了那儿会打给你的	Don't worry, he'll call you when he reaches there.	he	别担心 他到了那儿会打给你的
				
	178	178		
1	亲爱的 去外婆家开心吗	Honey, did you have a great time in Grandmother's?	you	亲爱的 你去外婆家开心吗
2	开心 外婆给了我好多好吃的	Yeah, grandma made a lot of yummy foods for me.		
1	给你什么吃的了	What did she give you?	she	她给你什么吃的了
2	她说不能告诉你	She said that I couldn't tell you.	I	她说我不能告诉你
				
	179	179		
1	为了国家的安全利益 所有会面都要由美国律师委员会安排	To ensure the security interest of the country, all meetings must be arranged by American Bar Council.		
2	我委员会的朋友说他们很忙	My friends from the council said they were busy.		
2	不过明年春天可能有机会给你们安排下	But they'll arrange it for you in next spring if it's possible.	they	不过明年春天他们可能有机会给你们安排下
1	多谢帮忙 你可真是了不起	Thanks for your help. You are awesome.		
2	哈 应该的	Ha, it's my honor.		
				
	180	180		
1	我可以进去吗	May I come in?		
2	如果您的客户来了您也可以	Only if your customer comes.		
1	好吧 我问问看	Okay, let me check.		
1	我的客户是个谨慎的人 如果能让他了解到第一手的情况也许就容易多了	My customer is a cautious person. It'll be much easier if you can give him the first-hand information.		
2	我可以先简单介绍下	I can give him a brief introduction.		
				
	181	181		
1	有没有可以逮捕他	Is it possible to arrest him?		
2	琼斯说他可以 但是得按照他的方法来	Jones said he could, but in his own way.		
1	如果能将拉尔森绳之以法 我同意	I agree if Lason can be brought to justice.		
1	但绝对不能违法	But it must be legal.		
2	我会转告他的	I'll tell him.		
				
	182	182		
1	艾瑞亚和我的关系一直不太好	The relationship between me and Aria has been hard.		
2	我希望她没有让咱俩之间关系更糟	I hope she didn't make our relationship worse.		
1	我相信我们可以冷静处理这件事的	I believe we can handle this calmly.		
2	如果能做到这样最好	That's the best way.		
				
	183	183		
1	这么多事情 我该怎么完成呢	So many works, how can I get them done?		
2	我可以让珍妮来帮你	I can get Jenny to help you.		
1	你愿意让珍妮回来	Are you willing to get Jenny back?		
2	如果能帮上你的话	If it helps.		
				
	184	184		
1	我一直在研究纵火犯发的那段视频	I've been researching the video send by the arsonist.		
2	有什么发现吗	Any discoveries?		
1	这段视频被人为修改了	The video has been modified.		
2	你的意思是	What do you mean?		
1	如果能拿到原始数据 我就能找到发视频的人的位置	If I can get the raw data, I'll be able to find the location of the publisher.		
				
	185	185		
1	雷尼送了我一件礼服	Reyne gave me a dress.		
2	为什么不穿出来呢	Why don't you wear it?	you	你为什么不穿出来呢
1	那件礼服实在是很难看	It's an ugly dress.		
2	为什么不告诉雷尼呢	Why don't you tell Reyne?	you	你为什么不告诉雷尼呢
1	我可不想让他伤心	I don't want make him sad.		
				
	186	186		
1	妈 你怎么来了	Mom, why you're here?		
2	你们在这里干什么	What are you doing here?		
1	我们只是在这里玩牌	We're just playing cards.		
2	是吗 为什么不在家里玩	Really? Why don't you play at home?	you	是吗 你们为什么不在家里玩
1	因为这里龙舌兰酒才五美元	The tequila here is only 5 dollars.		
				
	187	187		
1	丽娜 我们还是分手吧	Lena, we need to break up.		
2	为什么 我喜欢你而我知道你也喜欢我	Why? I like you, and I know you like me, too.		
1	听我说	Listen.		
2	我不听 为什么不能在能一起呢	No, why couldn't we be together?		
1	因为我还没有准备好	Because I'm not ready.		
				
	188	188		
1	你知道照片里的女孩是谁吗	Do you know the girl in the picture?		
2	是我妈妈 她在吃什么	It's my mom. What is she eating?		
1	热狗	A hotdog.		
2	不可能	No way.		
1	是的 你妈妈以前很喜欢热狗	Yeah, your mom used to love hotdogs.		
2	那为什么现在不吃了呢	But why doesn't she eat hotdogs anymore?	she	那她为什么现在不吃了呢
1	因为她现在长大了	Because she's grown up.		
				
	189	189		
1	这是什么东西	What's this?		
2	联邦执法局想请你帮忙 尼尔逃跑了	The Federal Law Enforcement Bureau wants your help. Neil escaped.		
1	为什么要找我	Why me?		
2	也许因为你是唯一抓到过他的人	Maybe because you're the only one who's ever caught him.		
				
	190	190		
1	你宁愿相信你的破领带 也不肯相信尼尔吗	You would rather trust your broken tie than Neil?		
2	这条破领带可从来没有骗过我	The broken tie's never lied to me.		
1	为什么就不肯相信他改邪归正了呢	Why don't you believe that he's on the straight?	you	为什么你就不肯相信他改邪归正了呢
2	很简单 因为这不是他的天性	It's easy. It's not who he is.		
1	你太多疑了	You're too suspicious.		
				
	191	191		
1	在坚持一段时间 一切就会风平浪静了	Hold on for a while, everything will be fine.		
2	可万一布里背判有罪呢	But what if Brie is found guilty?		
1	我不知道 还是明天再谈吧	I don't know. Let's talk about it tomorrow.		
2	你到底关心过他吗	Have you ever cared about him?		
1	我不想再吵了 很晚了	I don't want to argue with you anymore. It's late.		
				
	192	192		
1	小家伙他怎么说	What did the kid say?		
2	还是不肯说谁欺负他 只是叫我教他怎么打架	He still wouldn't say who bullied him. He just asked me to teach him how to fight.		
1	他才五岁	But he's only 5 years old.		
2	我不想让他打架 但每个男孩子迟早都要学会挥拳头的	I don't want him to fight. But every boy would learn how to swing his fist sooner or later.		
1	知道吗 如果你想让他占上风 应该教他卡泼卫勒舞	You know what? If you want him to win the advantage, you should teach him the capoeira.		
2	卡泼什么	The capo what?		
1	是一种巴西的武术舞蹈	It's a martial art dance from Brazil.		
				
	193	193		
1	你穿着联邦调查局的风衣真不错	You look great in the FBI's coat.		
1	也许你可以考虑新职业了	Maybe you need to consider a new career.		
2	不不 还是干老本行吧	No. I'll stick to my old job.	I	不不 我还是干老本行吧
2	我们要找什么	What are we looking for?		
1	一个流浪汉 他可能和杀死保罗的人有关	A tramp, who's probably related to the man who killed Paul.		
				
	194	194		
1	你天生就很多疑	You're born suspicious.		
2	职业病而已 我只是喜欢万无一失	It's just occupational disease. I just like to be safe.		
1	我明白 但有时候还是得碰碰运气	I know. But sometimes you need to take a chance.	you	我明白 但有时候你还是得碰碰运气
2	也许吧	Maybe.		
				
	195	195		
1	一切准备就绪了吗	Is everything ready?		
2	只剩下你的钱了	Only your money left.		
2	据我所知美联储的安保可谓无懈可击	As far as I know, the security system of FED is unassailable.		
1	没错 也是是全世界最严密的	Yeah, it's also the most unassailable security system in the world.		
2	但你却从那里带走了六千万	But you've taken 60 million dollars out of there.		
				
	196	196		
1	那辆车看起来有些眼熟	That car looks familiar.		
2	是的 我们进来时遇到过	Yes, we met it when we came in.		
1	我们得查出他们是谁	We need to find out who they are.		
2	也许是芯片的竞争买家	Maybe a rival buyer of the chip.		
1	我们靠近一点 听听他们说了什么	Let's get closer and hear what they're saying.		
				
	197	197		
1	巴特去哪儿了	Where's Bart?		
2	他估计又去买彩票了吧	He must have gone to buy the lottery again.		
1	你说要是中了会怎么样	What would he do if he hit it?	he	你说要是他中了会怎么样
2	他第一个要买的就是敞篷跑车	The first thing he would do is to buy a roadster.		
				
	198	198		
1	这是你收到的情人节礼物吗	Is it the valentine's gift you received?		
2	是尼尔送给我的	It's from Neil.		
1	你穿上这件裙子看上去太美了	You look wonderful in this dress.		
2	要是明天能在T台上穿就好了	If only I could wear it on the runway tomorrow.	I	要是明天我能在T台上穿就好了
1	没准哪一天就实现了	Maybe someday.		
				
	199	199		
1	我需要你做件事	I need you to do something.		
2	什么事	What?		
1	我要你吸引克洛伊的注意	I need you to get Chole's attention.		
2	怎么可能做得到 她简直当我不存在	How's it possible? She treats me like I'm not exist.		
1	你需要主动出击	You need to take the initiative.		
				
	200	200		
1	参议员先生 我是特别探员彼得	Mr. Senator, I'm the special agent Peter.		
2	你好彼得	Hi, Peter.		
1	感谢您抽空前来	Thanks for your time.		
2	怎么能拒绝执法部门的要求呢	How could I say no to the requests of the law-enforcing agence?	I	我怎么能拒绝执法部门的要求呢
1	我有些情况需要向议员先生了解	I have something to ask Mr. Senator.		

